,PERIOD_ENDING_DATE,PREDICTED_VOLUME,PREDICTED_VALUE,RECORD_TYPE
0,07/01/2021,12768793.31,740.59,FORECASTED
1,08/01/2021,12305407.03,713.71,FORECASTED
2,09/01/2021,12354660.39,716.57,FORECASTED
3,10/01/2021,12687018.8,735.85,FORECASTED
4,11/01/2021,12862913.76,746.05,FORECASTED
5,12/01/2021,13107856.33,760.26,FORECASTED
6,01/01/2022,13090577.51,759.25,FORECASTED
7,02/01/2022,12393994.59,718.85,FORECASTED
8,03/01/2022,13141945.5,762.23,FORECASTED
9,04/01/2022,12735613.91,738.67,FORECASTED
10,05/01/2022,13265676.14,769.41,FORECASTED
11,06/01/2022,13280696.02,770.28,FORECASTED
12,07/01/2022,13223592.7,766.97,FORECASTED
13,08/01/2022,12722087.46,737.88,FORECASTED
14,09/01/2022,12744813.2,739.2,FORECASTED
15,10/01/2022,12950924.38,751.15,FORECASTED
16,11/01/2022,13197259.47,765.44,FORECASTED
17,12/01/2022,13274111.11,769.9,FORECASTED
18,01/01/2023,13193480.94,765.22,FORECASTED
19,02/01/2023,12518403.56,726.07,FORECASTED
20,03/01/2023,13253304.25,768.69,FORECASTED
21,04/01/2023,12715472.81,737.5,FORECASTED
22,05/01/2023,13264701.65,769.35,FORECASTED
23,06/01/2023,13221542.09,766.85,FORECASTED
