,COUNTRY,DIVISION,CATEGORY,SUB_CATEGORY,A_2019_Q1,A_2019_Q2,A_2019_Q3,A_2019_Q4,A_2019_FY,A_2020_Q1,A_2020_Q2,A_2020_Q3,A_2020_Q4,A_2020_FY,BS_2021_Q1,BS_2021_Q2,BS_2021_Q3,BS_2021_Q4,BS_2022_Q1,BS_2022_Q2,BS_2022_Q3,BS_2022_Q4,LC_2021_Q1,LC_2021_Q2,LC_2021_Q3,LC_2021_Q4,LC_2022_Q1,LC_2022_Q2,LC_2022_Q3,LC_2022_Q4,RI_2021_Q1,RI_2021_Q2,RI_2021_Q3,RI_2021_Q4,RI_2022_Q1,RI_2022_Q2,RI_2022_Q3,RI_2022_Q4,UL_TO_YTD_NOV,UW_BS_H1_2022_2021,UW_BS_H2_2022_2021,UW_BS_FY_2021_2020,UW_BS_FY_2022_2019,UW_BS_FY_2022_2021,UW_LC_H1_2022_2021,UW_LC_H2_2022_2021,UW_LC_FY_2021_2020,UW_LC_FY_2022_2019,UW_LC_FY_2022_2021,UW_RI_H1_2022_2021,UW_RI_H2_2022_2021,UW_RI_FY_2021_2020,UW_RI_FY_2022_2019,UW_RI_FY_2022_2021,BS_H1_2022_2021,BS_H2_2022_2021,BS_FY_2021_2020,BS_FY_2022_2019,BS_FY_2022_2021,LC_H1_2022_2021,LC_H2_2022_2021,LC_FY_2021_2020,LC_FY_2022_2019,LC_FY_2022_2021,RI_H1_2022_2021,RI_H2_2022_2021,RI_FY_2021_2020,RI_FY_2022_2019,RI_FY_2022_2021
0,Brazil,BPC,Deos,Deodorants,0.27,0.26,0.28,0.32,1.13,0.32,0.28,0.29,0.34,1.23,0.34,0.31,0.29,0.31,0.32,0.3,0.3,0.33,0.34,0.31,0.29,0.31,0.32,0.31,0.3,0.33,0.34,0.31,0.29,0.31,0.32,0.31,0.31,0.34,449.86,-3.93,3.46,2.11,10.8,-0.37,-3.88,3.91,2.01,10.96,-0.13,-2.61,6.72,2.05,13.24,1.89,-3.93,3.46,2.11,10.8,-0.37,-3.88,3.91,2.01,10.96,-0.13,-2.61,6.72,2.05,13.24,1.89
1,Brazil,BPC,Hair Care,Hair Postwash,0.3,0.28,0.27,0.29,1.14,0.29,0.26,0.27,0.3,1.12,0.29,0.28,0.26,0.27,0.28,0.25,0.25,0.26,0.29,0.28,0.26,0.27,0.28,0.27,0.26,0.27,0.29,0.28,0.26,0.27,0.3,0.27,0.25,0.27,34.62,-6.35,-5.03,-1.7,-9.13,-5.71,-2.87,-1.34,-1.88,-5.85,-2.13,-0.19,-1.38,-2.23,-4.89,-0.77,-6.35,-5.03,-1.7,-9.13,-5.71,-2.87,-1.34,-1.88,-5.85,-2.13,-0.19,-1.38,-2.23,-4.89,-0.77
2,Brazil,BPC,Hair Care,Hair Shampoo,0.23,0.22,0.21,0.23,0.89,0.23,0.22,0.22,0.23,0.9,0.23,0.23,0.21,0.22,0.22,0.21,0.21,0.22,0.23,0.23,0.21,0.22,0.22,0.21,0.21,0.22,0.23,0.23,0.21,0.23,0.25,0.24,0.22,0.24,283.44,-6.34,-0.42,-1.77,-4.17,-3.48,-5.91,0.38,-1.79,-3.59,-2.87,6.37,5.96,-0.84,6.41,6.17,-6.34,-0.42,-1.77,-4.17,-3.48,-5.91,0.38,-1.79,-3.59,-2.87,6.37,5.96,-0.84,6.41,6.17
3,Brazil,BPC,Hair Care,Total,0.53,0.5,0.48,0.52,2.03,0.52,0.48,0.49,0.53,2.02,0.52,0.51,0.47,0.49,0.5,0.46,0.46,0.48,0.52,0.51,0.47,0.49,0.5,0.48,0.47,0.49,0.52,0.51,0.47,0.5,0.55,0.51,0.47,0.51,318.07,-6.34,-2.98,-1.73,-6.95,-4.71,-4.23,-0.57,-1.84,-4.86,-2.46,2.75,1.94,-1.61,0.07,2.36,-6.34,-0.92,-1.76,-4.71,-3.72,-5.58,0.19,-1.8,-3.84,-2.79,5.66,5.16,-0.99,5.18,5.41
4,Brazil,BPC,Skin Cleansing,Skin Cleansing-Bar,0.17,0.17,0.17,0.18,0.68,0.18,0.18,0.18,0.19,0.74,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.22,0.24,0.25,0.22,0.23,131.96,3.93,-0.36,10.89,22.22,1.73,5.61,0.74,10.91,23.9,3.11,24.84,7.16,11.02,39.25,15.76,3.93,-0.36,10.89,22.22,1.73,5.61,0.74,10.91,23.9,3.11,24.84,7.16,11.02,39.25,15.76
5,Brazil,BPC,Skin Cleansing,Skin Cleansing-Liquid,0.04,0.04,0.04,0.05,0.18,0.05,0.06,0.06,0.06,0.24,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,27.92,4.06,-0.18,12.39,54.65,1.9,6.43,1.68,12.37,57.84,4.01,24.97,7.12,12.46,75.98,15.87,4.06,-0.18,12.39,54.65,1.9,6.43,1.68,12.37,57.84,4.01,24.97,7.12,12.46,75.98,15.87
6,Brazil,BPC,Skin Cleansing,Total,0.21,0.21,0.21,0.23,0.86,0.23,0.24,0.24,0.25,0.98,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.29,0.32,0.33,0.29,0.3,159.88,3.96,-0.32,11.25,28.92,1.77,5.81,0.97,11.27,30.91,3.33,24.87,7.15,11.37,46.83,15.79,3.95,-0.33,11.15,27.88,1.76,5.75,0.9,11.16,29.83,3.27,24.86,7.15,11.27,45.67,15.78
7,Brazil,F&R,Food,Mayonnaise,0.07,0.06,0.06,0.07,0.26,0.07,0.08,0.08,0.09,0.31,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,163.23,-6.18,-3.79,9.91,24.21,-4.99,-3.85,-3.05,9.92,26.22,-3.45,3.19,8.94,9.42,38.01,6.05,-6.18,-3.79,9.91,24.21,-4.99,-3.85,-3.05,9.92,26.22,-3.45,3.19,8.94,9.42,38.01,6.05
8,Brazil,HC,Fabric Solution,Fabric Solution,0.38,0.38,0.38,0.39,1.53,0.4,0.39,0.4,0.42,1.61,0.42,0.42,0.45,0.46,0.45,0.45,0.46,0.47,0.42,0.42,0.45,0.46,0.45,0.46,0.46,0.47,0.42,0.42,0.44,0.45,0.47,0.47,0.48,0.49,784.69,7.13,2.48,8.52,19.28,4.72,7.81,2.98,8.56,19.99,5.31,11.22,9.69,7.64,24.76,10.43,7.13,2.48,8.52,19.28,4.72,7.81,2.98,8.56,19.99,5.31,11.22,9.69,7.64,24.76,10.43
9,Brazil,BPC,Total,Total,1.01,0.97,0.97,1.07,4.02,1.07,1.0,1.02,1.12,4.23,1.13,1.09,1.03,1.08,1.1,1.04,1.03,1.09,1.13,1.09,1.03,1.08,1.1,1.07,1.05,1.1,1.13,1.09,1.04,1.1,1.19,1.15,1.07,1.15,927.81,-3.15,-0.45,2.38,5.67,-1.83,-1.71,1.1,2.31,7.2,-0.33,6.5,4.66,2.45,13.73,5.59,-3.4,1.31,2.34,8.43,-1.15,-2.8,2.12,2.28,9.14,-0.46,4.96,6.26,2.6,16.06,5.49
