PERIOD_ENDING_DATE,AVG_HSEHLD_PDI_REAL,GDP_ANN_PCT_CHG,UNEMP_RATE,MAX_TEMP_CELSIUS,AVG_WIND,HUMIDITY,PRECIP,TEMP_AVG,TEMP_FEEL,TEMP_MIN,MOBILITY_GROCERY,RESIDENTIAL_PCT_CHANGE,RETAIL_AND_RECREATION_PCT_CHANGE,MOBILITY_TRANSIT,MOBILITY_WORKPLACE,CUMULATED_WD,PRICE_PER_VOL
2021-01-30,17.04,5.5,7.29,9,10.54,77,1,2.33,-2.06,-4,0,3.94,-62.74,-52.88,-14.5,0,2.4
2021-02-06,17.02,5.5,7.29,12,15.34,81,4,6.56,2.7,-1,0,1.3,-12.35,-27.67,-6.86,0,2.45
2021-02-13,17.01,5.5,7.29,15,10.8,82,0,8.3,5.01,1,0,0,-5.15,-21.06,0,0,2.41
2021-02-20,16.99,5.5,7.28,18,10.82,80,0,9.8,6.75,2,0,0,0,-22.39,0,0,2.42
2021-02-27,16.98,5.49,7.28,20,9.14,78,1,10.12,7.54,-1,0,0,0,-12.55,0,0,2.44
2021-03-06,16.96,5.49,7.28,14,15.78,76,4,7.2,2.89,-2,0,0,0,-2.72,0,0,2.41
2021-03-13,16.95,5.49,7.28,13,20.23,74,5,7.89,3.16,-2,0,0,0,0,0,0,2.38
2021-03-20,16.93,5.49,7.27,17,8.98,80,0,9.57,6.63,-2,0,0,0,0,0,0,2.36
2021-03-27,16.92,5.48,7.27,19,7.66,75,0,9.55,6.58,-1,0,0,0,0,0,0,2.29
2021-04-03,16.9,5.48,7.27,17,10.71,78,2,7.79,3.94,-1,0,0,0,0,0,0,2.28
2021-04-10,16.9,5.48,7.26,17,9.92,72,0,7.87,3.99,-2,0,0,0,0,0,0,2.27
2021-04-17,16.89,5.48,7.24,25,9.01,74,0,13.32,10.34,0,0,0,0,0,0,0,2.23
2021-04-24,16.89,5.47,7.23,23,12.16,76,1,11.9,8.65,0,0,0,0,0,0,0,2.29
2021-05-01,16.89,5.47,7.22,23,8,75,0,10.49,7.42,0,0,0,0,0,0,0,2.31
2021-05-08,16.88,5.47,7.2,18,8.07,76,2,9.98,6.87,0,0,0,0,0,0,0,2.33
2021-05-15,16.88,5.47,7.19,22,7.65,74,0,13.69,11.01,3,0,0,0,0,0,0,2.37
2021-05-22,16.88,5.46,7.18,23,8.27,77,0,14.3,11.8,0,0,0,0,0,0,0,2.38
2021-05-29,16.87,5.46,7.17,26,10.43,81,1,14.58,12.29,3,0,0,0,0,0,0,2.39
2021-06-05,16.87,5.46,7.15,20,10.62,79,4,13.3,10.69,1,0,0,0,0,0,0,2.4
2021-06-12,16.87,5.45,7.14,21,10.97,83,7,12.6,9.98,1,0,0,0,0,0,0,2.45
2021-06-19,16.87,5.45,7.13,23,8.35,78,0,15.04,12.91,4,0,0,0,0,0,0,2.43
2021-06-26,16.86,5.45,7.11,32,9.46,81,1,17.8,16.11,6,0,0,0,0,0,0,2.45
2021-07-03,16.86,5.45,7.1,28,8.02,74,0,16.55,14.63,5,0,0,0,0,0,0,2.52
