,COUNTRY,DIVISION,CATEGORY,SUB_CATEGORY,CHANNEL,A_2019_Q1,A_2019_Q2,A_2019_Q3,A_2019_Q4,A_2019_FY,A_2020_Q1,A_2020_Q2,A_2020_Q3,A_2020_Q4,A_2020_FY,BS_2021_Q1,BS_2021_Q2,BS_2021_Q3,BS_2021_Q4,BS_2022_Q1,BS_2022_Q2,BS_2022_Q3,BS_2022_Q4,LC_2021_Q1,LC_2021_Q2,LC_2021_Q3,LC_2021_Q4,LC_2022_Q1,LC_2022_Q2,LC_2022_Q3,LC_2022_Q4,RI_2021_Q1,RI_2021_Q2,RI_2021_Q3,RI_2021_Q4,RI_2022_Q1,RI_2022_Q2,RI_2022_Q3,RI_2022_Q4,BS_H1_2022_2021,BS_H2_2022_2021,BS_FY_2021_2020,BS_FY_2022_2019,BS_FY_2022_2021,LC_H1_2022_2021,LC_H2_2022_2021,LC_FY_2021_2020,LC_FY_2022_2019,LC_FY_2022_2021,RI_H1_2022_2021,RI_H2_2022_2021,RI_FY_2021_2020,RI_FY_2022_2019,RI_FY_2022_2021
0,Indonesia,BPC,Deos,Deodorants,Indonesia General Trade,10.41,10.67,11.32,12.19,44.6,11.58,8.27,8.6,10.07,38.53,11.11,10.72,10.34,11.87,12.59,12.61,12.71,12.82,11.11,10.72,10.39,11.06,11.06,10.78,10.95,11.31,11.11,10.72,10.75,9.96,10.93,11.01,11.08,11.54,15.38807682887291,14.983394519333526,14.311682928390134,13.76298306477275,15.184034997152395,-0.005398561155389725,3.76075058112606,12.351314747155628,-1.1210539551746224,1.8609224782836886,0.4565474807978198,9.204762977540405,10.436875032681293,-0.08238447468577048,4.715238791396725
1,Indonesia,BPC,Deos,Deodorants,Indonesia MT Hyper/Super,7.65,7.83,7.48,7.79,30.74,7.78,6.14,6.15,6.79,26.87,6.45,6.63,5.81,7.06,7.39,7.87,7.74,7.75,6.45,6.63,6.0,6.54,6.2,6.05,6.37,6.62,6.45,6.63,6.34,6.21,6.18,6.53,6.44,6.79,16.645770234772517,20.303276175061225,-3.401453085193862,0.009460983525855227,18.459909412811058,-6.4051006719506365,3.5077302909735986,-4.628963715445766,-17.94220026097647,-1.5525958091027081,-2.868776615294366,5.397026291624951,-4.598787337258992,-15.638833684459886,1.1788137720363023
2,Indonesia,BPC,Deos,Deodorants,Indonesia MT Independent,7.86,8.56,8.26,8.65,33.33,8.55,7.86,8.1,8.9,33.41,8.14,9.25,8.31,9.66,9.6,10.21,10.06,10.14,8.14,9.25,8.18,8.76,8.25,8.55,8.41,8.77,8.14,9.25,8.26,8.49,8.39,9.01,8.57,8.99,13.959859370426496,12.401046276684546,5.824797217385691,20.039937093632034,13.167660669112614,-3.399029569521239,1.389824456485944,2.766059130305498,1.9402146914534013,-1.035401818745374,0.060129225353522386,4.798261021416805,2.1910976079836164,4.873633141418221,2.385221464501175
3,Indonesia,BPC,Deos,Deodorants,Indonesia MT Key Account,20.4,22.91,21.96,22.97,88.25,23.22,18.69,20.55,22.06,84.52,19.76,20.92,20.09,21.77,22.31,23.61,23.92,23.2,19.76,20.92,20.25,19.82,19.2,19.46,19.62,19.89,19.76,20.92,20.07,19.54,19.03,19.84,19.45,20.03,12.89930603116547,12.600953075340682,-2.3569405159392987,5.438804052002388,12.747994586574318,-4.955420989258197,-1.4121131850603375,-4.465647517978589,-11.427513114072008,-3.1969573674271112,-4.439027253624495,-0.3269533581981787,-5.016851797881361,-11.222946190235783,-2.410318253301258
4,Indonesia,BPC,Deos,Deodorants,Indonesia MT Minimarket,20.61,23.65,22.75,23.83,90.84,24.0,20.41,22.49,24.17,91.06,21.45,23.53,22.31,24.09,24.25,25.74,25.94,25.16,21.45,23.53,23.04,22.66,22.09,22.65,22.03,22.33,21.45,23.53,22.63,22.77,22.78,23.42,23.92,23.56,11.134564852935313,10.124178982623299,0.3492958144692082,11.280950497388398,10.621526834394857,-0.5499104270838107,-2.9304072920072644,-0.4164914687778798,-1.9181924737724843,-1.7496313335642055,2.7078414483358237,4.588624002994313,-0.746231412150633,3.132163337712335,3.652617440500938
5,Indonesia,BPC,Deos,Deodorants,Indonesia Modern Trade,28.26,31.48,30.22,31.62,121.58,31.77,26.55,28.65,30.96,117.93,27.9,30.16,28.27,31.4,31.8,33.61,33.66,33.26,27.9,30.16,28.82,29.6,27.96,28.07,28.69,29.78,27.9,30.16,29.14,28.67,27.43,29.88,29.73,30.78,12.658071530278425,12.150633332055527,-0.17213121072421345,8.838095375676346,12.40089465713985,-3.5086230492267556,0.09210002823389907,-1.2298477190814339,-5.8269817939211705,-1.7027426251685518,-1.2869464292811994,4.677371490602189,-1.745597525358189,-3.086498165043694,1.6887483905186018
6,Indonesia,BPC,Deos,Deodorants,Total,95.19,105.1,101.99,107.07,409.34,106.9,87.92,94.54,102.96,392.32,94.81,101.21,95.13,105.84,107.93,113.66,114.02,112.34,94.81,101.21,96.68,98.46,94.75,95.55,96.07,98.69,94.81,101.21,97.2,95.64,94.74,99.69,99.19,101.7,13.044228112691103,12.634176599559721,1.190230072762155,9.433021508621685,12.83664712818795,-2.9231844419079223,-0.18913579585686513,-0.2968333834992509,-5.931663236667406,-1.5592578813431013,-0.8161365820615663,4.172328480732945,-0.8820681966146049,-3.4278112101535196,1.6576834709078891
7,Indonesia,BPC,Hair Care,Post Wash,Indonesia General Trade,2.07,1.93,2.29,2.38,8.67,2.08,1.29,1.35,1.78,6.5,2.12,2.09,2.19,2.5,2.55,2.52,2.61,2.65,2.12,2.09,1.86,2.09,2.05,1.98,2.08,2.13,2.12,2.09,1.84,1.82,2.13,2.05,2.16,2.26,20.310005444580703,12.120626973826099,37.0827025584912,19.204174038881238,15.995449425517094,-4.477653565275297,6.715111469363078,25.58757001322165,-4.9714463201406485,0.9344937149744936,-0.7004513417883884,20.899711247014285,21.140553132176798,-0.7078530300511865,9.334568681019718
8,Indonesia,BPC,Hair Care,Post Wash,Indonesia MT Hyper/Super,6.23,6.18,6.68,6.61,25.7,6.59,5.64,5.72,5.7,23.64,5.7,5.77,6.5,7.36,7.37,7.57,7.83,7.77,5.7,5.77,5.72,6.09,5.99,5.73,6.15,6.1,5.7,5.77,6.03,5.7,6.0,5.91,6.3,6.19,30.254808007310775,12.527220966467233,7.16071699540084,18.832856087993942,20.55275233673386,2.171814884346235,3.7737667095536276,-1.5390811467852372,-6.726262743584921,2.984460811186307,3.845544716570748,6.573052717602912,-1.8950634619462892,-5.042194968884073,5.2242918622601
9,Indonesia,BPC,Hair Care,Post Wash,Indonesia MT Independent,4.63,4.81,5.2,5.2,19.84,5.13,5.13,5.38,5.56,21.2,5.42,5.62,6.26,6.68,6.43,6.29,6.43,6.41,5.42,5.62,5.63,5.69,5.48,5.66,5.67,5.66,5.42,5.62,5.61,5.68,5.75,5.95,5.93,5.91,15.2734845181153,-0.7125492406294676,13.065844695895557,28.842937395118163,6.646384601151434,1.007394588566668,0.09207163264162155,5.437276580566053,13.274723474594952,0.5439127813829936,5.989588378573307,4.877817867729539,5.309655261306134,18.632673800858647,5.427298720713392
